task_id,task_description,task_link,verification_link,max_steps,max_wait_time
clear-cart,"Add 3 Items and Clear the Cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/clear-cart,100,1800
clear-cart,"Add 3 Items and Clear the Cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/clear-cart,100,1800
clear-cart,"Add 3 Items and Clear the Cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/clear-cart,100,1800
clear-cart,"Add 3 Items and Clear the Cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/clear-cart,100,1800
clear-cart,"Add 3 Items and Clear the Cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/clear-cart,100,1800
order-7eleven-with-tip,"Order 2 Lays Crisps, 1 fruit punch and 1 red bull from 7-Eleven, and add a $5 tip. Close the popup",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/order-7eleven-with-tip,100,1800
order-7eleven-with-tip,"Order 2 Lays Crisps, 1 fruit punch and 1 red bull from 7-Eleven, and add a $5 tip. Close the popup",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/order-7eleven-with-tip,100,1800
order-7eleven-with-tip,"Order 2 Lays Crisps, 1 fruit punch and 1 red bull from 7-Eleven, and add a $5 tip. Close the popup",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/order-7eleven-with-tip,100,1800
order-7eleven-with-tip,"Order 2 Lays Crisps, 1 fruit punch and 1 red bull from 7-Eleven, and add a $5 tip. Close the popup",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/order-7eleven-with-tip,100,1800
order-7eleven-with-tip,"Order 2 Lays Crisps, 1 fruit punch and 1 red bull from 7-Eleven, and add a $5 tip. Close the popup",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/order-7eleven-with-tip,100,1800
add-fruits,"Go to Gus's Community Market and shop for fruits: 3 kiwis, 1 avocado, 1 bunch of strawberries",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-fruits,100,1800
add-fruits,"Go to Gus's Community Market and shop for fruits: 3 kiwis, 1 avocado, 1 bunch of strawberries",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-fruits,100,1800
add-fruits,"Go to Gus's Community Market and shop for fruits: 3 kiwis, 1 avocado, 1 bunch of strawberries",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-fruits,100,1800
add-fruits,"Go to Gus's Community Market and shop for fruits: 3 kiwis, 1 avocado, 1 bunch of strawberries",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-fruits,100,1800
add-fruits,"Go to Gus's Community Market and shop for fruits: 3 kiwis, 1 avocado, 1 bunch of strawberries",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-fruits,100,1800
add-milk-from-safeway,"Search for Safeway in the Grocery section and add a gallon of milk to the cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-milk-from-safeway,100,1800
add-milk-from-safeway,"Search for Safeway in the Grocery section and add a gallon of milk to the cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-milk-from-safeway,100,1800
add-milk-from-safeway,"Search for Safeway in the Grocery section and add a gallon of milk to the cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-milk-from-safeway,100,1800
add-milk-from-safeway,"Search for Safeway in the Grocery section and add a gallon of milk to the cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-milk-from-safeway,100,1800
add-milk-from-safeway,"Search for Safeway in the Grocery section and add a gallon of milk to the cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-milk-from-safeway,100,1800
add-organic-eggs,"Navigate to Sprouts Farmers Market and add 2 Vital Farms Organic Pasture Raised Eggs to the cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-organic-eggs,100,1800
add-organic-eggs,"Navigate to Sprouts Farmers Market and add 2 Vital Farms Organic Pasture Raised Eggs to the cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-organic-eggs,100,1800
add-organic-eggs,"Navigate to Sprouts Farmers Market and add 2 Vital Farms Organic Pasture Raised Eggs to the cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-organic-eggs,100,1800
add-organic-eggs,"Navigate to Sprouts Farmers Market and add 2 Vital Farms Organic Pasture Raised Eggs to the cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-organic-eggs,100,1800
add-organic-eggs,"Navigate to Sprouts Farmers Market and add 2 Vital Farms Organic Pasture Raised Eggs to the cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-organic-eggs,100,1800
add-pet-items,"Search for a dog poop bag and a cat shampoo on PetSmart and add it to the cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-pet-items,100,1800
