2025-08-15T11:50:37.034Z | 58636517-3cceeaf1 | sequential-starbucks-bagel | FAIL | 513.6ms | null | 0 items
2025-08-15T11:50:49.690Z | 58647588-546a2314 | sequential-starbucks-bagel | FAIL | 40.4ms | None | 0 items
2025-08-15T11:53:42.675Z | 58647588-546a2314 | sequential-starbucks-bagel | FAIL | 58.1ms | None | 0 items
2025-08-15T11:57:38.345Z | 59054356-68671b8a | sequential-starbucks-bagel | FAIL | 890.7ms | None | 0 items
2025-08-15T11:59:00.047Z | 59054356-68671b8a | sequential-starbucks-bagel | FAIL | 284.3ms | None | 0 items
2025-08-15T12:00:26.427Z | 59054356-68671b8a | sequential-starbucks-bagel | FAIL | 799.3ms | None | 0 items
2025-08-15T12:01:38.446Z | 58647588-546a2314 | sequential-starbucks-bagel | FAIL | 624.6ms | None | 0 items
2025-08-15T12:06:10.123Z | 58647588-546a2314 | sequential-starbucks-bagel | FAIL | 400.1ms | None | 0 items
2025-08-15T12:06:33.560Z | 59580386-3ac32e52 | sequential-starbucks-bagel | FAIL | 266ms | None | 0 items
2025-08-15T12:08:29.224Z | 59705795-063fdd8e | sequential-starbucks-bagel | FAIL | 92ms | None | 0 items
2025-08-15T12:09:18.271Z | 59705795-063fdd8e | sequential-starbucks-bagel | FAIL | 72.8ms | None | 0 items
2025-08-15T12:11:05.012Z | 59848087-d75601c6 | sequential-starbucks-bagel | FAIL | 1425.3ms | None | 0 items
2025-08-15T12:13:06.016Z | 59848087-d75601c6 | sequential-starbucks-bagel | FAIL | 706.8ms | None | 0 items
2025-08-15T12:13:50.209Z | 59848087-d75601c6 | sequential-starbucks-bagel | FAIL | 113.3ms | None | 0 items
2025-08-15T12:15:39.205Z | 59848087-d75601c6 | sequential-starbucks-bagel | FAIL | 654.9ms | None | 0 items
2025-08-15T12:16:29.153Z | 59848087-d75601c6 | sequential-starbucks-bagel | FAIL | 42ms | None | 0 items
2025-08-15T12:16:56.832Z | 59848087-d75601c6 | sequential-starbucks-bagel | PASS | 27.5ms | None | 0 items
2025-08-15T12:20:10.336Z | 59848087-d75601c6 | add-customized-croissant | PASS | 607.7ms | Gateway Croissant | 1 items
2025-08-15T12:20:41.605Z | 59848087-d75601c6 | add-customized-croissant | FAIL | 717ms | Gateway Croissant | 1 items
2025-08-15T18:33:11.515Z | 59848087-d75601c6 | reorder-pet-treats | PASS | 2200.7ms | PetSmart | 0 items
2025-08-15T18:33:57.293Z | 59848087-d75601c6 | reorder-pet-treats | PASS | 85.2ms | Petco | 0 items
2025-08-15T18:36:15.961Z | 59848087-d75601c6 | reorder-pet-treats | FAIL | 544.2ms | Petco | 0 items
2025-08-15T21:48:00.708Z | 94479739-d4488e5f | add-airpods | PASS | 965ms | null | 0 items
2025-08-15T21:48:14.675Z | 94479739-d4488e5f | add-airpods | FAIL | 53.7ms | null | 0 items
