2025-09-14T18:22:01.813Z | 74119118-5a61f4f0 | clear-cart | FAIL | 2684.9ms | null | 0 items
2025-09-14T18:23:49.378Z | 74228920-7aafe18e | clear-cart | FAIL | 430.1ms | null | 0 items
2025-09-14T18:23:58.175Z | 74238147-30be2871 | clear-cart | FAIL | 21.3ms | null | 0 items
2025-09-14T18:24:04.505Z | 74243885-12b259be | clear-cart | FAIL | 615.5ms | null | 0 items
2025-09-14T18:24:10.469Z | 74249972-132d8b8d | clear-cart | FAIL | 486.7ms | null | 0 items
2025-09-14T18:25:14.407Z | 74313982-03f6e07d | clear-cart | FAIL | 384ms | null | 0 items
2025-09-14T18:25:21.925Z | 74321595-d274e604 | clear-cart | FAIL | 323.2ms | null | 0 items
2025-09-14T18:25:30.745Z | 74330531-c3abf958 | clear-cart | FAIL | 204.6ms | null | 0 items
2025-09-14T18:27:06.804Z | 74426607-005f55bd | search-starbucks | FAIL | 0ms | null | 0 items | ERROR: Flow 'search-starbucks' not found
2025-09-14T18:27:33.053Z | 74452570-f15d379d | reorder-pet-treats | FAIL | 479.2ms | null | 0 items
2025-09-14T18:29:32.475Z | 74570828-a9cfe5b3 | reorder-pet-treats | FAIL | 1626.8ms | null | 0 items
2025-09-14T18:30:43.866Z | 74643354-37c2a06c | reorder-pet-treats | FAIL | 481.7ms | null | 0 items
2025-09-14T18:31:11.669Z | 74671618-2aad29ed | reorder-pet-treats | FAIL | 44.5ms | null | 0 items
2025-09-14T18:32:08.244Z | 74727792-cd160b62 | reorder-pet-treats | FAIL | 443.4ms | null | 0 items
2025-09-14T18:32:16.193Z | 74735301-94639770 | reorder-pet-treats | FAIL | 882.9ms | null | 0 items
2025-09-14T18:32:36.910Z | 74753974-b40baf19 | clear-cart | FAIL | 2928.7ms | null | 0 items
2025-09-14T18:34:39.055Z | 74873870-2adf611f | clear-cart | FAIL | 5099.5ms | null | 0 items
2025-09-14T18:34:45.048Z | 74884500-4e857aca | clear-cart | FAIL | 542.7ms | null | 0 items
2025-09-14T18:34:58.981Z | 74898943-3eae570c | clear-cart | FAIL | 32.3ms | null | 0 items
2025-09-14T18:35:29.222Z | 74929178-73ba5b54 | clear-cart | FAIL | 40.8ms | null | 0 items
2025-09-14T18:37:49.303Z | 75068516-04e12d6c | clear-cart | FAIL | 770.9ms | null | 0 items
2025-09-14T18:38:01.149Z | 75080846-fdd3b308 | clear-cart | FAIL | 297.3ms | null | 0 items
2025-09-14T18:38:13.026Z | 75092742-2bd530ad | clear-cart | FAIL | 277.9ms | null | 0 items
2025-09-14T18:40:51.291Z | 75251202-468491b8 | clear-cart | FAIL | 85.6ms | null | 0 items
2025-09-14T18:41:29.384Z | 75251202-468491b8 | clear-cart | PASS | 24.9ms | null | 0 items
2025-09-14T18:42:29.623Z | 75349188-725563e6 | clear-cart | FAIL | 423.1ms | null | 0 items
2025-09-14T18:42:34.590Z | 75354320-bb757ea5 | clear-cart | FAIL | 266ms | null | 0 items
2025-09-14T18:42:38.836Z | 75358771-6d4c4835 | clear-cart | FAIL | 61.4ms | null | 0 items
2025-09-14T18:42:40.737Z | 75360683-69501b51 | clear-cart | FAIL | 50.3ms | null | 0 items
2025-09-14T18:42:42.271Z | 75362225-e5dedf27 | clear-cart | FAIL | 42.8ms | null | 0 items
2025-09-14T18:42:43.667Z | 75363643-ffaaa162 | clear-cart | FAIL | 20.3ms | null | 0 items
2025-09-14T18:42:44.747Z | 75364687-2ebfff1d | clear-cart | FAIL | 56.7ms | null | 0 items
2025-09-14T18:42:46.313Z | 75366288-de98b873 | clear-cart | FAIL | 22ms | null | 0 items
2025-09-14T18:42:48.178Z | 75368076-3e20772b | clear-cart | FAIL | 96.4ms | null | 0 items
2025-09-14T18:42:49.955Z | 75369927-fef10738 | clear-cart | FAIL | 24.3ms | null | 0 items
2025-09-14T18:42:51.284Z | 75371245-c5472e5f | clear-cart | FAIL | 36ms | null | 0 items
2025-09-14T18:42:52.916Z | 75372884-d13c8991 | clear-cart | FAIL | 28.7ms | null | 0 items
2025-09-14T18:42:53.999Z | 75373824-4468b9cc | clear-cart | FAIL | 170.9ms | null | 0 items
2025-09-14T18:43:08.404Z | 75388355-1984d237 | clear-cart | FAIL | 45.3ms | null | 0 items
2025-09-14T18:44:13.702Z | 75453108-5268c769 | clear-cart | FAIL | 583.9ms | null | 0 items
2025-09-14T18:44:25.676Z | 75465635-d829fc0c | reorder-pet-treats | FAIL | 34.3ms | null | 0 items
2025-09-14T18:45:33.932Z | 75533257-a5e05a63 | reorder-pet-treats | FAIL | 664.3ms | null | 0 items
2025-09-14T18:47:03.837Z | 75622667-c7d54ff5 | order-7eleven-with-tip | FAIL | 1164.4ms | null | 0 items
2025-09-14T19:18:09.722Z | 77489659-c55af685 | clear-cart | FAIL | 56.2ms | null | 0 items
2025-09-14T19:18:12.710Z | 77492686-7dac6fd2 | clear-cart | FAIL | 14.2ms | null | 0 items
2025-09-14T19:18:24.194Z | 77504147-4db199d8 | reorder-pet-treats | FAIL | 42.6ms | null | 0 items
